Person,1998,1999,2006,2008,2009,2010,2011,2012,2013,2014,2015,Total
Павлов А. Л.,,,,,,,,,1 617 003,,,1 617 003
Рагимов В. В.,,,,,,,,,1 151 547,,,1 151 547
Платухин Владимир Александрович,,,,,,,,,2 065 069,,,2 065 069
Алешин Алексей Алексеевич,,,,,,,,,979 256,,,979 256
Балашов Дмитрий Петрович,,,,,,,,,1 823 970,,,1 823 970
Патракеев Денис Юрьевич,,,,,,,,,903 016,,,903 016
Парамонов Алексей Викторович,,,,,,,,,1 005 573,,,1 005 573
Шевелев Валерий Германович,,,,,,,,,1 074 423,,,1 074 423
Греку Василий Борисович,,,,,,,,,2 082 321,,,2 082 321
Кондратенко Владимир Емельянович,,,,,,,,,1 042 534,,,1 042 534
Шишкин Максим Александрович,,,,,,,,,1 014 473,,,1 014 473
Берговин Александр Вячеславович,,,,,,,,,926 213,,,926 213
Чаус Андрей Андреевич,,,,,,,,,1 752 695,,,1 752 695
Езапенко Андрей Владимирович,,,,,,,,,1 196 275,,,1 196 275
Бурачек Константин Сергеевич,,,,,,,,,1 584 049,,,1 584 049
Кашинцев Сергей Юрьевич,,,,,,,,,1 230 246,,,1 230 246
Минин Михаил Алексеевич,,,,,,,,,2 136 192,,,2 136 192
Смирнов Сергей Юрьевич,,,,,,,,,1 667 231,,,1 667 231
Бочков Виктор Петрович,,,,,,,,,1 503 596,,,1 503 596
Гаталин Василий Кириллович,,,,,,,,,1 537 084,,,1 537 084
Кайрис Людмила Ивановна,,,,,,,,,1 644 284,,,1 644 284
Плеханов Р. С.,,,,,,,,,1 130 473,,,1 130 473
Суслов Владимир Владимирович,,,,,,,,,1 218 399,,,1 218 399
Мамедов Ариф Исмаилович,,,,,,,,,1 594 295,,,1 594 295
Ршоян Роман Нверович,,,,,,,,,1 322 071,,,1 322 071
Гончаров О. Д.,,,,,,,,,2 949 863,,,2 949 863
Ивлев Владимир Иванович,,,,,,,,,1 628 294,,,1 628 294
Белоусов Роман Владимирович,,,,,,,,,934 139,,,934 139
Дубров Евгений Петрович,,,,,,,,,1 217 042,,,1 217 042
Кузьмина Людмила Николаевна,,,,,,,,,880 250,,,880 250
Мартынов Александр Юрьевич,,,,,,,,,999 526,,,999 526
Прихунов А. В.,,,,,,,,,1 078 335,,,1 078 335
Ульянов А. Н.,,,,,,,,,1 631 090,,,1 631 090
Гречаный Вадим Николаевич,,,,,,,,,2 103 219,,,2 103 219
Асланов Муслим Абумуслимович,,,,,,,,,11 860 389,,,11 860 389
Сушко Н. Н.,,,,,,,,,1 912 496,,,1 912 496
Никифорчин В. И.,,,,,,,,,1 735 060,,,1 735 060
Ломовцева Светлана В.,,,,,,,,,1 980 534,,,1 980 534
Львов Вадим Александрович,,,,,,,,,1 223 495,,,1 223 495
Зайкин Сергей Александрович,,,,,,,,,951 259,,,951 259
Максимов В. В.,,,,,,,,,1 081 895,,,1 081 895
Кузнецов Алексей Владимирович,,,,,,,,,2 166 765,,,2 166 765
Бегбулатов Олег Владимирович,,,,,,,,,1 362 781,,,1 362 781
Никитина Татьяна Владимировна,,,,,,,,,1 264 661,,,1 264 661
Поздеев Виталий Владимирович,,,,,,,,,1 175 353,,,1 175 353
Черенов Алексей Викторович,,,,,,,,,1 415 262,,,1 415 262
Чернов Игорь Викторович,,,,,,,,,1 723 943,,,1 723 943
Набок А. М.,,,,,,,,,1 543 451,,,1 543 451
Насевич Михаил Леонидович,,,,,,,,,1 846 700,,,1 846 700
Пивоварчук Александр Юрьевич,,,,,,,,,1 533 725,,,1 533 725
Симаков Валерий Александрович,,,,,,,,,1 013 175,,,1 013 175
Озерчук Валерий Александрович,,,,,,,,,2 349 741,,,2 349 741
Бодарев В. Н.,,,,,,,,,1 300 493,,,1 300 493
Дайнеко В. И.,,,,,,,,,1 524 809,,,1 524 809
Нюнькина Елена Владимировна,,,,,,,,,1 240 122,,,1 240 122
Якунин В. В.,,,,,,,,,968 369,,,968 369
Лиховид Владимир Иванович,,,,,,,,,1 531 983,,,1 531 983
Дударев Т. В.,,,,,,,,,809 467,,,809 467
Максимов С. Б.,,,,,,,,,1 506 928,,,1 506 928
Семенов Роман Алексеевич,,,,,,,,,4 999 784,,,4 999 784
Бурыкин В. Е.,,,,,,,,,767 676,,,767 676
Дорохов О. В.,,,,,,,,,1 213 865,,,1 213 865
Зонов Алексей И.,,,,,,,,,1 495 506,,,1 495 506
Скороход Андрей Павлович,,,,,,,,,1 663 804,,,1 663 804
Оганесьян Сергей Петросович,,,,,,,,,3 495 625,,,3 495 625
Артемьев Игорь Георгиевич,,,,,,,,,1 226 676,,,1 226 676
Зеленкова Агата Владиславовна,,,,,,,,,1 000 523,,,1 000 523
Кузьмин И. В.,,,,,,,,,845 303,,,845 303
Литвиненко Алексей Анатольевич,,,,,,,,,906 361,,,906 361
Сибирева Наталья Л.,,,,,,,,,1 889 706,,,1 889 706
Шепитько И. Б.,,,,,,,,,1 884 635,,,1 884 635
Перминова Елена Алексеевна,,,,,,,,,,3 303 476,4 870 560,8 174 036
Полетаев Владимир Владимирович,,,,,,,,,,2 701 807,4 688 524,7 390 331
Попова Елена Владимировна,,,,,,,,,,6 967 962,8 877 417,15 845 379
Семенов Валерий Владимирович,,,,,,,,,,4 249 513,5 495 268,9 744 781
Соболев Андрей Николаевич,,,,,,,,,,1 709 493,7 146 559,8 856 052
Солнцева Светлана Юрьевна,,,,,,,,,,619 937,3 852 574,4 472 510
Тимофеева Ольга Леонидовна,,,,,,,,,,1 158 818,4 687 000,5 845 818
Тихонова Ираида Юрьевна,,,,,,,,,,7 617 452,5 948 269,13 565 720
Ульбашев Мухарбий Магомедович,,,,,,,,,,27 299 503,13 277 714,40 577 217
Широков Анатолий Иванович,,,,,,,,,,6 563 786,6 570 406,13 134 192
Антошкин Николай Тимофеевич,,,,,,,,,,4 638 890,13 752 979,18 391 869
Вострецов Сергей Алексеевич,,,,,,,,,,2 036 073,4 993 925,7 029 998
Ганзя Вера Анатольевна,,,,,,,,,,3 282 100,5 124 842,8 406 942
Гришин Евгений Анатольевич,,,,,,,,,,4 140 480,6 164 198,10 304 679
Гусева Ирина Михайловна,,,,,,,,,,4 333 950,4 729 995,9 063 945
Левинталь Александр Борисович,,,,,,,,,,12 107 260,8 212 465,20 319 725
Анденко Сергей Анатольевич,,,,,,2 134 095,,,3 458 232,3 875 680,4 688 127,14 156 133
Башкирев Анатолий Александрович,,,,,,2 579 051,,,,,,2 579 051
Белоусов Алексей Игоревич,,,,,,1 616 878,,,,,,1 616 878
Войтановский Вадим Николаевич,,,,,,1 537 958,,,,,,1 537 958
Высоцкий Игорь Владимирович,,,,,2 323 473,2 762 956,2 901 948,33 880 904,12 848 261,5 426 879,5 373 245,65 517 666
Гольман Владимир Михайлович,,,,,,1 700 847,,,,,,1 700 847
Горлов Александр Павлович,,,,,,1 641 762,,,,,,1 641 762
Дмитриев Владимир Яковлевич,,,,,,1 735 386,,,2 408 667,2 593 287,2 613 677,9 351 016
Егорова Любовь Ивановна,,,,,,2 944 978,,3 957 499,4 400 177,9 658 267,5 830 968,26 791 889
Заушникова Зоя Валентиновна,,,,,,1 988 271,,,,,,1 988 271
Зуйков Владимир Андреевич,,,,,,1 619 432,,,,,,1 619 432
Киселев Борис Леонидович,,,,,,1 993 783,,,,,,1 993 783
Ковалев Алексей Анатольевич,,,,,,1 573 097,,,2 068 278,2 174 373,3 917 947,9 733 695
Костерев Анатолий Евгеньевич,,,,,,2 462 097,,,,,,2 462 097
Карпенко Юрий Викторович,,,,,,2 340 149,,,,,,2 340 149
Крамарев Аркадий Григорьевич,,,,,,1 915 410,,,,,,1 915 410
Крупник Павел Анатольевич,,,,,,2 153 787,,,,,,2 153 787
Кущак Александр Иванович,,,,,,2 222 113,,,4 633 388,3 540 352,3 338 171,13 734 024
Литвиненко Ольга Владимировна,,,,,,1 396 865,,,,,,1 396 865
Ловягин Андрей Евгеньевич,,,,,,16 343 796,,,,,,16 343 796
Малков Сергей Александрович,,,,,,1 487 931,,,,,,1 487 931
Мартыненко Виталий Евгеньевич,,,,,,2 126 982,,,1 950 919,3 044 797,2 101 028,9 223 726
Марченко Евгений Евгеньевич,,,,,,1 416 700,,,1 963 017,2 670 612,1 890 648,7 940 977
Нестерова Светлана Николаевна,,,,,,2 199 473,,,3 121 404,3 341 937,3 707 287,12 370 100
Никешин Сергей Николаевич,,,,,,8 776 352,,,11 015 745,7 613 149,12 590 265,39 995 511
Ольховский Александр Сергеевич,,,,,,1 537 589,,,,,,1 537 589
Пеший Олег Иванович,,,,,,1 832 187,,,,,,1 832 187
Плющенко Евгений Викторович,,,,,,19 915 797,,,,,,19 915 797
Риммер Игорь Сергеевич,,,,,,10 112 140,,,,,,10 112 140
Салаев Александр Рафикович,,,,,,956 761,,,,,,956 761
Семенова Евгения Семеновна,,,,,,2 355 917,,,,,,2 355 917
Сергеев Олег Елизарович,,,,,,2 390 289,,,,,,2 390 289
Соловьев Сергей Анатольевич,,,,,1 985 292,2 030 239,2 087 385,2 332 184,2 877 241,5 587 338,12 470 845,29 370 523
Солтан Павел Михайлович,,,,,,2 362 057,,,3 229 304,7 539 571,3 732 644,16 863 576
Тимофеев Алексей Анатольевич,,,,,,1 507 833,,,,,,1 507 833
Тимофеев Игорь Владимирович,,,,,,1 796 710,,3 640 139,4 222 360,3 342 977,4 460 275,17 462 460
Федоров Владимир Игоревич,,,,,,1 721 556,,,,,,1 721 556
Черных Андрей Николаевич,,,,,,1 601 070,,,,690 495,2 183 709,4 475 274
Ягья Ватаняр Саидович,,,,,,3 526 461,,,,,,3 526 461
Зарагацкий Александр Аркадьевич,,,,,,1 335 905,,,,,,1 335 905
Таничев Юрий Павлович,,,,,,1 293 712,,,1 815 332,2 364 127,2 614 209,8 087 380
Хромов Владимир Николаевич,,,,,,1 695 759,,,2 207 360,2 566 529,2 441 946,8 911 595
Яковлев Максим Эдуардович,,,,,,2 640 187,,,4 708 802,4 843 763,3 001 409,15 194 161
Лопатников Вадим Сергеевич,,,,,,1 561 040,,,,,,1 561 040
Русакова Юлия Сергеевна,,,,,,2 400 435,,,,,,2 400 435
Свечкарева Елена Михайловна,,,,,,459 318,,,,,,459 318
Полякова Елена Георгиевна,,,,,,1 817 295,,,,,,1 817 295
Данилов Владимир Юрьевич,,,,,,2 071 881,,,,,,2 071 881
Маргарян Виктория Владимировна,,,,,,1 222 701,,,,,,1 222 701
Тажетдинов Саит Растямович,,,,,,1 463 590,,,,,,1 463 590
Константинова Юлия Романовна,,,,,,325 771,,,,,,325 771
Новикова Марина Вадимовна,,,,,,1 183 681,,,,,,1 183 681
Кошелева Елена Николаевна,,,,,,1 461 971,,,,,,1 461 971
Анохин Андрей Юрьевич,,,,,,,,,3 047 886,2 860 051,2 653 241,8 561 179
